,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
706,86,2015,50.7093436888645,11.0,0.0,35.092544869416166,0.0,3.027159713881666,0.0,0.303696413888333,0.0,0.0,0.0,12.285942691678335,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,1264,2015,0.48122568333383337,0.0,0.0,0.0,0.0,0.48122568333383337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,98,2015,36.7320919611128,5.0,0.0,23.554840958344997,0.0,4.772044444438333,0.0,0.0,0.0,0.0,0.0,8.4052065583295,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,588,2015,52.8420590416791,8.0,0.0,29.625262094456673,0.0,2.634838355555666,0.0,0.0,0.0,0.0,0.0,20.581958591666833,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,1175,2015,8.603713674998833,0.0,0.0,7.879059108332167,0.0,0.724654566666666,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,781,2015,2.803569036111666,0.0,0.0,1.830236272221666,0.0,0.97333276389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,437,2015,26.8226485694468,0.0,0.0,21.943387919444497,0.0,3.8468948527795,0.0,0.0,0.0,0.0,0.0,1.032365797222833,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,578,2015,59.9972305805681,11.0,0.0,39.0040153500098,0.0,4.003358016666167,0.0,0.585352877778333,0.0,0.0,0.0,16.404504336113835,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,1072,2015,2.708951883333333,0.0,0.0,1.833580308333333,0.0,0.875371575000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,295,2015,43.4857495222271,0.0,0.0,31.041783322226163,0.12414762222216667,0.73180734722,0.0,3.934290666666667,0.0,4.282130694445001,0.0,3.371589869446167,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,349,2015,73.5498063277836,10.0,0.0,40.9539329194376,0.0,4.355601611117167,0.0,0.03669020833333333,0.0,0.0,0.0,28.2035815888955,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,723,2015,1.735182200000000,0.0,0.0,0.865649458333333,0.0,0.869532741666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,528,2015,53.5360342305478,1.0,0.0,29.287609338883833,0.0,2.284981966666666,0.0,0.0,0.0,0.0,9.85140592499,12.112037000002333,7.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,22,2015,43.9724868666738,11.0,0.0,23.450930363889498,0.0,3.3570701555515,0.0,0.855798324999499,0.0,0.0,0.0,16.308688022233333,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,482,2015,36.6518820389001,1.0,0.0,26.567644763,0.0,1.0179781333345,0.0,0.0,0.0,0.0,0.0,9.066259141665665,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,830,2015,0.390370936111666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390370936111666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
